Ticker,Date,Pos,Neu,Neg,Normalized,Close,Returns,12-day Rolling,5-day Rolling,3-day Rolling,12-day Rolling Std,5-day Rolling Std,3-day Rolling Std,difference 1-day,difference 3-days,direction 1-day,direction 3-days
AOS,2019-10-29,0.078,0.9,0.022,1,49.23,-0.04128529698149963,0.0022738901596302354,-0.009736324508880068,-0.010952276269521333,0.01772853436948888,0.019792776317595216,0.026299772285452487,-2.1200000000000045,-1.6900000000000048,0,0
APA,2019-10-30,0.111,0.864,0.024,1,21.36,-0.0312925170068028,-0.0019786392236761188,-0.01901527242333445,-0.01065728662504406,0.02326582064379955,0.02393993017624622,0.02337390769697014,-0.6900000000000013,-0.7100000000000009,0,0
APD,2019-11-07,0.132,0.846,0.023,1,227.58,0.03989033584647017,0.008050267299015515,0.013175768686750744,0.020148379508501457,0.015469877796976575,0.01543342844870596,0.017098248764924315,8.730000000000018,13.160000000000025,1,1
APH,2019-10-23,0.111,0.859,0.03,1,101.59,0.02522958926228691,0.0053664095738240975,0.005711651321231281,0.008775304172868833,0.013811839521442154,0.014700446841835147,0.019763360878649383,2.5,2.5900000000000034,1,1
APTV,2019-10-30,0.12,0.86,0.021,1,13.26,-0.06024096385542166,-0.0038041803631922075,-0.013692990159659501,-0.025796070652846354,0.030001091026927315,0.03384586964851817,0.035008108765006464,-0.8499999999999996,-1.0999999999999996,0,0
ARE,2019-10-28,0.136,0.843,0.021,1,158.88,0.003981042654028322,0.002548218193882179,0.0016963833215242641,0.002443217115864852,0.0058485175998044285,0.005856905986221617,0.007510830722856879,0.6299999999999955,1.1500000000000057,1,1
ARNC,2019-11-05,0.085,0.9,0.015,1,29.51,0.025364836692147286,0.007475454612552131,0.012953594100767397,0.024241890137628008,0.01259927839255618,0.018910820519623367,0.0153021007924737,0.7300000000000004,2.0400000000000027,1,1
ATO,2019-11-06,0.144,0.844,0.012,1,108.77,0.007876204595997027,-0.0023031750156520445,-0.006369471635439416,-0.00874938107644807,0.009696984419033744,0.01124860329550408,0.014653385936330808,0.8499999999999943,-2.930000000000007,1,0
ATVI,2019-11-07,0.148,0.832,0.02,1,54.55,-0.03211497515968775,0.00016741161107801847,-0.005224193996566595,-0.006800785995375702,0.016300565682499046,0.016882960019982022,0.023663370221253508,-1.8100000000000023,-1.1600000000000037,0,0
AVB,2019-10-28,0.106,0.879,0.015,1,216.99,-0.011029579326375272,-0.000631528234044563,-0.0045838993918948965,-0.006873778153473527,0.005678710378462384,0.004105799459224688,0.0037427110987413724,-2.4199999999999875,-4.539999999999992,0,0
AVGO,2019-09-12,0.098,0.884,0.019,1,300.58,0.00862387168215828,0.006899536108534314,0.006491769948371617,0.009000880433604289,0.01717493245320639,0.004027568685116145,0.0029533626483447314,2.569999999999993,7.96999999999997,1,1
AVY,2019-10-23,0.11,0.871,0.019,1,126.14,0.06510174786793876,0.010763345814417236,0.0205535748671549,0.02609488796608206,0.020106636658741326,0.025584302573991448,0.03453599545136426,7.709999999999994,9.25,1,1
